sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
CHRSPS3-005-001,GL,49.55,1.53,14.85,,,10.15,0.2,7.83,12.03,2.8,0.08,0.08,-16.303,173.5522,-3500 to -3930,BACK-ARC_BASIN;NORTH FIJI BASIN,CHRSPS3-005,SEAPSO,dredge,"basalt; basalt; , moderately phyric lava (5-15% crystals); plag, ol-pc, rare cpx-mc",slightly altered,"Eissen,1991(523)",EMP(1125)
CHRSPS3-005-002,GL,50.41,1.86,15.01,,,9.93,0.24,7.43,11.48,2.39,0.3,0.27,-16.303,173.5522,-3500 to -3930,BACK-ARC_BASIN;NORTH FIJI BASIN,CHRSPS3-005,SEAPSO,dredge,"basalt; basalt; , phyric lava (15-25% crystals); plag, ol-pc, rare cpx-mc",slightly altered,"Eissen,1991(523)",EMP(1125)
CHRSPS3-005-003,GL,50.17,1.63,15.43,,,9.86,0.15,7.69,12.03,2.6,0.28,0.16,-16.303,173.5522,-3500 to -3930,BACK-ARC_BASIN;NORTH FIJI BASIN,CHRSPS3-005,SEAPSO,dredge,"basalt; basalt; , moderately phyric lava (5-15% crystals); plag, ol-pc, rare cpx-mc",slightly altered,"Eissen,1991(523)",EMP(1125)
CHRSPS3-005-004,GL,49.74,1.49,15.61,,,9.75,0.15,8.31,12.14,2.34,0.22,0.12,-16.303,173.5522,-3500 to -3930,BACK-ARC_BASIN;NORTH FIJI BASIN,CHRSPS3-005,SEAPSO,dredge,"basalt; basalt; , moderately phyric lava (5-15% crystals); plag, ol-pc, rare cpx-mc",slightly altered,"Eissen,1991(523)",EMP(1125)
CHRSPS3-005-005,GL,50.01,1.56,15.49,,,9.72,0.16,7.77,12.33,2.63,0.28,0.15,-16.303,173.5522,-3500 to -3930,BACK-ARC_BASIN;NORTH FIJI BASIN,CHRSPS3-005,SEAPSO,dredge,"basalt; basalt; , moderately phyric lava (5-15% crystals); plag, ol-pc, rare cpx-mc",slightly altered,"Eissen,1991(523)",EMP(1125)
KAIYO88-006-003,GL,51.38,1.64,13.96,,,9.14,0.3,7.02,11.66,2.88,0.17,0.02,-16.6648,173.8207,-2498 to -2580,BACK-ARC_BASIN;NORTH FIJI BASIN,KAIYO88-006,KAIYO88,dredge,"basalt; basalt; , moderately phyric lava (5-15% crystals); plag, ol, cpx; dominantly euheadral to skeletal mc, isolated occurences of plag and occasional ol-pc",slightly altered,"Eissen,1991(523)",EMP(1125)
KAIYO88-006-005,GL,50.83,1.83,14.15,,,9.69,0.29,7.1,12.01,2.99,0.16,0.01,-16.6648,173.8207,-2498 to -2580,BACK-ARC_BASIN;NORTH FIJI BASIN,KAIYO88-006,KAIYO88,dredge,"basalt; basalt; , moderately phyric lava (5-15% crystals); plag, ol, cpx; dominantly euheadral to skeletal mc, isolated occurences of plag and occasional ol-pc",slightly altered,"Eissen,1991(523)",EMP(1125)
KAIYO87-003-001,GL,48.91,1.06,17.11,,,8.25,0.17,9.34,12.1,2.78,0.07,0.06,-16.8933,173.9065,-2101 to -2205,BACK-ARC_BASIN;NORTH FIJI BASIN,KAIYO87-003,KAIYO87,dredge,"basalt; basalt; , highly phyric lava (>25% crystals); plag, ol, +/- cpx",slightly altered,"Eissen,1991(523)",EMP(1125)
KAIYO87-003-002,GL,48.77,1.02,17.29,,,8.04,0.16,9.63,11.94,2.77,0.07,0.06,-16.8933,173.9065,-2101 to -2205,BACK-ARC_BASIN;NORTH FIJI BASIN,KAIYO87-003,KAIYO87,dredge,"basalt; basalt; , highly phyric lava (>25% crystals); plag, ol, +/- cpx",slightly altered,"Eissen,1991(523)",EMP(1125)
KAIYO88-003-027,GL,50.11,1.78,15.81,,,6.9,0.22,8.04,10.89,2.99,0.33,0.03,-21.0363,174.1478,-2820 to -2844,BACK-ARC_BASIN;NORTH FIJI BASIN,KAIYO88-003,KAIYO88,dredge,"basalt; basalt; , sub-aphyric (1-5% crystals); plag +/- ol",fresh,"Eissen,1991(523)",EMP(1125)
KAIYO88-005-003,GL,54.04,1.19,15.11,,,8.03,0.26,5.25,9.68,3.03,0.29,0.01,-21.396,174.1988,-2501 to -2653,BACK-ARC_BASIN;NORTH FIJI BASIN,KAIYO88-005,KAIYO88,dredge,"basalt; basalt; , sub-aphyric (1-5% crystals); plag + ol + cpx",slightly altered,"Eissen,1991(523)",EMP(1125)
