sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
DAR0033-015-001-2,WR,50.6,1.16,15.89,,10.74,,,0.18,7.39,12.12,2.42,0.04,0.07,,,,,,,,,,,,,,,,,38,335,,106,,,,7,,,79,,,41,,94,,,,,318,,,86,,,,,,,,-18.883,-176.562,-2280 to -2310,BACK-ARC_BASIN;LAU BASIN,DAR0033-015,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-015-001-4,WR,50.3,1.12,15.85,,10.85,,,0.17,7.32,12.32,2.43,0.04,0.07,,,,,,,,,,,,,,,,,40,337,,107,,,,7,,,75,,,45,,108,,,,,332,,,86,,,,,,,,-18.883,-176.562,-2280 to -2310,BACK-ARC_BASIN;LAU BASIN,DAR0033-015,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-010-001-1,WR,52.3,2.61,12.06,,18.19,,,0.27,3.24,7.6,3.24,0.22,0.41,,,,,,,,,,,,,,,,,36,7,,50,,,,17,,,16,,5,38,,78,,,,,305,,,185,,,,,,,,-19.142,-176.527,-2260,BACK-ARC_BASIN;LAU BASIN,DAR0033-010,CD33,dredge,"basalt; basalt; fe-ti-basalt, vesicular plag-ol-cpx-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-010-001-3,WR,51.5,2.53,12.27,,18.39,,,0.27,3.3,7.92,3.34,0.17,0.43,,,,,,,,,,,,,,,,,38,7,,50,,,,18,,,15,,4,35,,80,,,,,288,,,187,,,,,,,,-19.142,-176.527,-2260,BACK-ARC_BASIN;LAU BASIN,DAR0033-010,CD33,dredge,"basalt; basalt; fe-ti-basalt, vesicular plag-ol-cpx-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-018-001-2,WR,48.4,1.16,17,,9.97,,,0.16,10.23,11.53,2.4,0.02,0.04,,,,,,,,,,,,,,,,,50,440,,109,,,,7,,,212,,,38,,101,,,,,266,,,72,,,,,,,,-19.717,-176.217,-2650,BACK-ARC_BASIN;LAU BASIN,DAR0033-018,CD33,dredge,"basalt; basalt; , glass fragment",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-041-002-1,WR,50.5,0.82,16.18,,8.86,,,0.15,8.11,12.82,1.84,0.06,0.06,,,,,,,,,,,,,,,,,43,399,,90,,,,6,,,85,,,33,,88,,,,,305,,,67,,,,,,,,-19.277,-176.173,-2980 to -3120,BACK-ARC_BASIN;LAU BASIN,DAR0033-041,CD33,dredge,"basalt; basalt; , moderately plag-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-041-003-2,WR,50.9,0.79,16.58,,8.79,,,0.15,8.13,12.95,1.84,0.06,0.05,,,,,,,,,,,,,,,,,41,397,,93,,,,6,,,89,,,34,,83,,,,,280,,,68,,,,,,,,-19.277,-176.173,-2980 to -3120,BACK-ARC_BASIN;LAU BASIN,DAR0033-041,CD33,dredge,"basalt; basalt; , moderately plag-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-022-006-1,WR,51.4,1.19,14.53,,11.84,,,0.19,7.06,11.08,2.39,0.06,0.09,,,,,,,,,,,,,,,,,42,80,,100,,,,7,,,50,,3,39,,76,,,,,406,,,94,,,,,,,,-19.688,-175.993,-2730,BACK-ARC_BASIN;LAU BASIN,DAR0033-022,CD33,dredge,"basalt; basalt; , aphyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-023-008-1,WR,51.7,0.96,15.46,,10.48,,,0.17,7.45,11.99,1.93,0.03,0.08,,,,,,,,,,,,,,,,,43,280,,86,,,,7,,,70,,,36,,80,,,,,340,,,83,,,,,,,,-20.567,-176.133,-2585 to -2625,BACK-ARC_BASIN;LAU BASIN,DAR0033-023,CD33,dredge,"basalt; basalt; , highly vesicular (up to 50%), aphyric to sparsely ol-phyric, glassy to fine-grained",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-023-008-2,WR,51.8,0.77,15.65,,9.09,,,0.16,7.9,12.24,1.87,0.11,0.06,,,,,,,,,,,,,,,,,35,320,,98,,,,7,,,81,,,36,,156,,,,,336,,,74,,,,,,,,-20.567,-176.133,-2585 to -2625,BACK-ARC_BASIN;LAU BASIN,DAR0033-023,CD33,dredge,"basalt; basalt; , highly vesicular (up to 50%), aphyric to sparsely ol-phyric, glassy to fine-grained",fresh,"Pearce,1995(646)",AAS(338); COL(339)
