sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
ALV0976-005,GL,49.8,1.94,14.7,,,10.6,0.18,7.84,11.7,2.78,0.06,,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-005,ALVIN 0976,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0976-005,GL,49.4,1.64,18.3,,,9.09,0.18,6.65,12.5,2.49,0.08,,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-005,ALVIN 0976,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0976-003,GL,50.5,1.73,14.37,,,10.86,,7.37,12.49,2.16,0.14,0.2,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-003,ALVIN 0976,submersible,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ALV0976-005,GL,50.16,2.07,14.56,,,10.99,,7.29,11.68,2.61,0.09,0.18,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-005,ALVIN 0976,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
GIL7904-009-A1,GL,48.8,1.88,14.8,,,10.8,0.2,8.16,12,2.18,0.07,,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-009-A1,GL,49.3,1.87,15.2,,,10.8,0.2,8.2,11.8,2.03,0.06,,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
GIL7904-009-001,GL,48.84,1.95,14.77,,,11.3,,7.63,11.81,2.12,0.08,0.23,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-005,GL,49.68,1.99,14.51,,,11.06,,7.31,11.54,2.49,0.08,0.2,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-008,GL,49.88,1.95,14.61,,,11.09,,7.35,11.64,2.39,0.08,0.19,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-020,GL,49.57,1.94,14.6,,,11.27,,7.61,11.9,2.1,0.08,0.2,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-A1,GL,49.36,1.89,14.61,,,11.23,,7.76,11.86,2.06,0.07,0.2,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
ALV0972-002,GL,49,1.53,15.7,,,9.73,0.19,8.74,12.3,2.57,0.03,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-002,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0972-006,GL,49.1,1.51,15.8,,,9.67,0.19,8.51,11.9,2.42,0.01,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-006,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-002,GL,49.4,2,14.4,,,11.2,0.21,7.45,11.7,2.84,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-002,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-004,GL,49.4,2.03,14.3,,,11.1,0.27,7.11,11.3,2.86,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-004,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-007,GL,49.3,2.13,14.1,,,11.1,0.26,7.26,11.6,2.79,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-007,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-008,GL,49.5,2.21,14.2,,,11.5,0.24,7.27,11.6,2.87,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-008,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0972-002,GL,48.8,1.52,16.2,,,9.52,0.17,8.73,11.8,2.35,0.07,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-002,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0972-006,GL,49.1,1.48,16,,,9.52,0.15,8.78,12,2.28,0.04,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-006,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-002,GL,50,1.98,15.3,,,11,0.2,7.44,11.6,2.71,0.1,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-002,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-004,GL,49.3,1.94,14.9,,,10.8,0.19,7.34,11.4,2.69,0.1,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-004,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-007,GL,49.3,1.94,14.9,,,10.7,0.19,7.54,11.6,2.66,1.11,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-007,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-008,GL,48.8,2,14.8,,,10.8,0.18,8.17,11.5,2.67,0.07,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-008,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0972-002-001,GL,49.84,1.69,15.37,,,10.04,,8.01,12.22,2.41,0.06,0.14,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-002,ALVIN 0972,submersible,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
