sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
DSDP065-0485A-029-001/30-32,whole rock,48.98,2.38,14.34,,,,13.12,0.17,7.3,11.1,2.34,0.11,0.25,3.8,15,,15.8,,1.94,7.64,1.39,,,,0.9,5.62,0.92,29,,,226,,,23,4.28,,,2,86,0.68,2,,,,129,0.19,0.25,,,,46,78,138,0.70255,0.513148,18.618,15.567,38.307,22.7487,-107.9038,-2981,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0485A,DSDP,drill,"basalt, basalt, aphyric",fresh,"Saunders,1983(926); Smith,1999(949)",INAA(1970); MS(2037); MS-ID(2040); XRF(1969)
ALV0920-R001,glass,50.92,1.55,14.35,,,10.17,,0.21,7.56,12.18,2.88,0.034,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,96,,0.056,,0.0172,,37,,89,,,,,,20.965,-109.287,-2800,SPREADING_CENTER;EAST PACIFIC RISE,ALV0920-R001,ALVIN 0920,submersible,"basalt, basalt, ",fresh,"Newman,1983(169)",EMP(688); XRF(689)
ALV0920-R010,glass,50.49,1.62,14.17,,,11.3,,0.2,7.32,11.64,2.39,0.07,0.16,,,,9.8,3.57,,,,,,,,,,,,,,,,,,,,,80,,0.57,,,,97,,0.12,,0.051,369,44,,97,0.70243,0.51312,,,,20.965,-109.287,-2800,SPREADING_CENTER;EAST PACIFIC RISE,ALV0920-R010,ALVIN 0920,submersible,"basalt, basalt, ",fresh,"Macdougall,1986(388); Newman,1983(169)",EMP(688); MS(909); MS-ID(910); XRF(689)
CYA1978-003-005,glass,50.09,1.79,13.93,10.48,,,,0.21,7.22,11.82,2.61,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.92,-109.03,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-003-005,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Jambon,1990(425)",EMP(1464)
CYA1978-003-005,whole rock,49.94,1.62,14.69,,11.42,,,0.19,8.08,11.72,2.25,0.12,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.467,15.535,38.01,20.92,-109.03,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-003-005,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Eissen,1982(629); Vidal,1981(740)",MS(2176); MS(2180); XRF(1003)
CYA1978-004-007,glass,50.02,1.42,14.73,,11.27,,,0.185,7.97,11.68,2.43,0.056,0.132,,,,,,,,,,,,,,,10.7,,,286,,72.7,,,489,,,87.4,,,,41.2,,85.6,,,,,324,35.4,85.3,96.9,,,,,,20.92,-109.03,-2635,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-004-007,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Hekinian,1987(88); Sarda,1985(302)",DCP(997); NN(1814)
CYA1978-004-007,whole rock,50.42,1.45,14.35,,11.2,,,0.18,7.88,12.04,2.16,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70254,,18.33,15.49,37.77,20.92,-109.03,-2635,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-004-007,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Dupre,1981(176); Eissen,1982(629)",MS(1372); MS(1373); XRF(1003)
CYA1978-006-010,glass,49.24,1.26,15.07,,9.96,9.11,,0.17,8.5,12.23,2.38,0.04,0.12,2.43,9,,,2.74,1.19,,0.66,,,,,,,,,,,,,,2.085,,,,140,,,,,,,,,,,,,,77.63,0.702496,,,,,20.92,-109.07,-2655,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-006-010,CYANA1978 (CYAMEX),submersible,"basalt, basalt, moderately phyric; glassy matrix with >10% plag-pc",fresh,"David,2000(1056); Juteau,1980(96); Schiano,1997(34)",EMP(583); INAA(2958); INAA(582); MS(579); MS-ID(2957); XRF(632)
CYA1978-006-010,whole rock,48.86,1.11,17.49,,9.05,,,0.15,7.79,12.65,2.24,0.06,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.426,15.467,37.84,20.92,-109.07,-2655,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-006-010,CYANA1978 (CYAMEX),submersible,"basalt, basalt, moderately phyric; glassy matrix with >10% plag-pc",fresh,"Juteau,1980(96); Vidal,1981(740)",MS(2176); XRF(632)
CYA1978-006-011,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,,18.42,15.487,37.85,20.92,-109.07,-2580,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-006-011,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Brevart,1981(741); Sarda,1985(302)",MS(2604); NN(1814)
CYA1978-006-011,whole rock,50.17,1.34,15.15,,10.36,,,0.19,8.46,12.37,2.36,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42,15.49,37.85,20.92,-109.07,-2580,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-006-011,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Dupre,1981(176); Eissen,1982(629)",MS(1372); XRF(1003)
