sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
TRI0164-022-001,GL,50.33,2.01,14.03,,,11.09,0.17,7.38,11.34,2.57,0.07,,2.3,-99.56,-3215,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-022,TR164,dredge,"basalt; basalt; , glassy",,"Fisk,1982(4)",EMP(2)
TRI0164-021-004,GL,50.34,1.48,14.47,,,10.03,0.2,8.01,12.37,2.27,0.07,,2.31,-98.54,-2660,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-021,TR164,dredge,"basalt; basalt; , ",,"Fisk,1982(4)",EMP(2)
TRI0164-020-001,GL,49.71,1.15,15.34,,,9.33,0.16,8.78,12.16,2.39,0.06,,2.24,-97.86,-3200,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-020,TR164,dredge,"basalt; basalt; , cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
SON0022-037,GL,51.13,1.28,15.03,,,10.27,,7.65,12.4,2.35,0.06,0.17,2.1588,-97.202,-3420,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0022-037,SO022 (GEOMETEP 2),dredge,"basalt; basalt; , ",fresh,"Christie,1984(551)",EMP(2344)
SON0022-037,GL,51.13,1.28,15.03,,,10.27,0.16,7.65,12.4,2.35,0.06,0.17,2.1588,-97.202,-3420,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0022-037,SO022 (GEOMETEP 2),dredge,"basalt; basalt; , ",fresh,"Christie,1986(15)",EMP(503)
SON0022-037,GL,51.13,1.28,15.03,,,10.27,0.16,7.94,12.4,2.35,0.06,0.17,2.1588,-97.202,-3420,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0022-037,SO022 (GEOMETEP 2),dredge,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
SON0022-037,GL,51.13,0.12,15.03,,,10.27,0.16,7.94,12.48,2.15,0.06,0.17,2.1588,-97.202,-3420,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0022-037,SO022 (GEOMETEP 2),dredge,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
TRI0164-019-001,GL,49.28,1.11,15.48,,,9.33,0.17,8.55,12.34,2.31,0.05,,2.12,-97.19,-3338,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-019,TR164,dredge,"basalt; basalt; , cryptocrystalline to aphanitic",fresh,"Fisk,1982(4)",EMP(2)
TRI0164-018-003,GL,50.43,1.11,15.15,,,9.4,0.15,8.33,12.67,2.49,0.03,,2.29,-96.18,-2865,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-018,TR164,dredge,"basalt; basalt; , cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
SON0012-165-001,GL,52.1,1,15.13,,,9.19,,8.2,12.82,2.05,0.09,0.08,2.3052,-96.0172,-2900 to -3000,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0012-165,SO012 (GEOMETEP 1),dredge,"basalt; basalt; , ",fresh,"Christie,1984(551)",EMP(2344)
SON0012-165-001,GL,52.1,1,15.13,,,9.19,0.18,8.2,12.82,2.05,0.09,0.08,2.3052,-96.0172,-2900 to -3000,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0012-165,SO012 (GEOMETEP 1),dredge,"basalt; basalt; , ",fresh,"Christie,1986(15)",EMP(503)
SON0012-165-054,GL,50.66,1.05,15.12,,,9.16,,8.1,12.95,2.07,0.11,0.12,2.3052,-96.0172,-2900 to -3000,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0012-165,SO012 (GEOMETEP 1),dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
SON0012-065,GL,50.66,1.05,15.12,,,9.16,,8.1,12.95,2.07,0.11,0.12,2.3052,-96.0172,-2900 to -3000,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0012-065,SO012 (GEOMETEP 1),dredge,"basalt; basalt; , ",fresh,"Puchelt,1983(109)",EMP(525)
SON0012-165,GL,52.1,1,15.13,,,9.19,0.18,8.45,12.82,2.05,0.09,0.08,2.3052,-96.0172,-2900 to -3000,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0012-165,SO012 (GEOMETEP 1),dredge,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
SON0012-165,GL,52.1,0.1,15.13,,,9.19,0.18,8.51,12.82,2.03,0.09,0.08,2.3052,-96.0172,-2900 to -3000,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,SON0012-165,SO012 (GEOMETEP 1),dredge,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
KAK1979-025-002T,GL,50.45,1.13,15.51,,,9.68,,8.28,12.14,2.1,0.17,0.12,3.5248,-95.7862,-2760,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,KAK1979-025,KK1979,dredge,"basalt; basalt; , ",fresh,"Christie,1984(551)",EMP(2343)
KAK1979-025-001,GL,50.28,1.17,15.61,,,9.66,,8.48,12.07,2.1,0.15,0.12,3.5248,-95.7862,-2760,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,KAK1979-025,KK1979,dredge,"basalt; basalt; , ",fresh,"Christie,1984(551)",EMP(2343)
KAK1979-025,GL,50.37,1.15,15.56,,,9.67,,8.38,12.1,2.1,0.16,0.12,3.5248,-95.7862,-2760,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,KAK1979-025,KK1979,dredge,"basalt; basalt; , ",fresh,"Christie,1986(15)",EMP(503)
KAK1979-025-001,GL,50.28,1.17,15.61,,,9.66,,8.48,12.07,2.1,0.15,0.12,3.5248,-95.7862,-2760,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,KAK1979-025,KK1979,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
KAK1979-025-002,GL,50.45,1.13,15.51,,,9.68,,8.28,12.14,2.1,0.17,0.12,3.5248,-95.7862,-2760,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,KAK1979-025,KK1979,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ALV1555-001,GL,51.63,1.22,15.05,,,9.96,0.15,8.1,12.49,2.22,0.1,0.09,2.305,-95.65,-3075,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-001,ALVIN 1555,submersible,"basalt; basalt; , skeletal ol, quench plag and cpx in glass, large plag with reverse zoning ",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-002,GL,51.67,1.2,15.31,,,9.76,0.16,8.36,12.06,2.22,0.09,0.09,2.305,-95.65,-3081,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-002,ALVIN 1555,submersible,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-006,GL,51.37,1.18,15.21,,,9.79,0.2,8.25,12.16,2.18,0.1,0.1,2.305,-95.65,-3036,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-006,ALVIN 1555,submersible,"basalt; basalt; , complex xc, rounded ol with xc of sp, plag, cpx and quench cpx (?)",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-008,GL,51.28,1.1,15.31,,,9.32,0.21,8.57,12.3,2.12,0.08,0.07,2.305,-95.65,-2979,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-008,ALVIN 1555,submersible,"basalt; basalt; , skeleatl ol; multiple plag phases (quench and resorbed); sp xc",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-001,GL,51.63,1.22,15.05,,,9.96,0.15,8.1,12.49,2.22,0.1,0.09,2.305,-95.65,-3075,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-001,ALVIN 1555,submersible,"basalt; basalt; , skeletal ol, quench plag and cpx in glass, large plag with reverse zoning ",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-002,GL,51.41,1.13,15.28,,,9.4,0.18,8.4,12.68,2.19,0.09,0.06,2.305,-95.65,-3081,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-002,ALVIN 1555,submersible,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-003,GL,51.44,1.19,15.19,,,9.62,0.2,8.58,12.54,2.16,0.08,0.06,2.305,-95.65,-3061,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-003,ALVIN 1555,submersible,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-004,GL,50.93,1.15,15.27,,,9.24,0.21,8.53,12.59,2.11,0.08,0.05,2.305,-95.65,-2990,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-004,ALVIN 1555,submersible,"basalt; basalt; , euhedral ol, rounded plag",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-005,GL,51.67,1.2,15.31,,,9.76,0.16,8.36,12.06,2.22,0.09,0.09,2.305,-95.65,-2980,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-005,ALVIN 1555,submersible,"basalt; basalt; , skeleatl ol, rounded plag with reverse zoning",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-006,GL,51.37,1.18,15.21,,,9.79,0.2,8.25,12.16,2.18,0.1,0.1,2.305,-95.65,-3036,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-006,ALVIN 1555,submersible,"basalt; basalt; , complex xc, rounded ol with xc of sp, plag, cpx and quench cpx (?)",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-007,GL,51.66,1.13,15.29,,,9.71,0.17,8.24,12.32,2.14,0.07,0.09,2.305,-95.65,-3035,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-007,ALVIN 1555,submersible,"basalt; basalt; , skeletal ol, plag with normal and reverse zoning, quench ol/plag/cpx clusters in glass",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-008,GL,51.28,1.1,15.31,,,9.32,0.21,8.58,12.3,2.12,0.08,0.07,2.305,-95.65,-2979,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-008,ALVIN 1555,submersible,"basalt; basalt; , skeleatl ol; multiple plag phases (quench and resorbed); sp xc",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-009,GL,51.45,1.1,15.4,,,9.55,0.17,8.56,12.26,2.09,0.07,0.08,2.305,-95.65,-2980,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-009,ALVIN 1555,submersible,"basalt; basalt; , ",fresh,"Yonover,1989(508)",EMP(2665)
ALV1555-010,GL,51.3,1.13,15.42,,,9.72,0.21,8.49,12.33,2.09,0.07,0.07,2.305,-95.65,-2982,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1555-010,ALVIN 1555,submersible,"basalt; basalt; , sub-euhedral ol, plag clusters",fresh,"Yonover,1989(508)",EMP(2665)
DST0041-005-D08,GL,50.62,1.04,16.49,,,8.49,,8.53,12.34,2.24,0.04,0.06,2.45,-95.62,-2750,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-005,DE STEIGUER 41,dredge,"basalt; basalt; , glassy pillow basalt, sparsely plag-ol phyric; large rounded plag and ol phenocrysts, picotite as rounded corroded phenocrysts; plag, ol & picotite as smaller euhedral phenocrysts",,"Byerly,1980(7)",EMP(23)
