sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
DST0041-001-A,glass,48.99,3.71,11.52,,,18.45,0.29,4.31,9.13,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703129,0.513119,,,,0.71,-85.5,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-001,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",fresh,"Fisk,1982(4); Ito,1980(184)",EMP(2); MS(1377)
DST0041-001-A,whole rock,48.43,3.62,11.51,15.11,3.61,18.86,0.26,4.45,8.95,2.66,0.24,0.32,9.8,31.9,,29,10.2,2.9,,2.6,,,,1.8,10.7,1.5,31.9,,49,8,0.037,,,,1957,,,,,,4.13,48,,67.8,,,,,622,,,,0.7027,,,,,0.71,-85.5,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-001,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",fresh,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-002-A,glass,49.29,1.45,16.16,,,8.5,0.12,8.66,12.22,2.91,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,-85.12,-2798,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-002,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",,"Fisk,1982(4)",EMP(2)
DST0041-002-A,whole rock,49.55,1.41,16.58,7.44,1.15,8.47,0.15,8.64,11.57,2.77,0.08,0.21,3.8,13.4,,10.3,3.6,1.3,,0.9,,,,0.51,3.2,0.44,6.6,,43,378,0.004,,,,605,,,,,,0.575,43,,144.9,,,,,241,,,,0.70248,,,,,1.74,-85.12,-2798,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-002,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-003-A,whole rock,50.95,1.23,15.84,7.16,2.7,9.59,0.17,6.18,12.46,2.33,0.15,0.11,1.5,7.1,,6.1,2.6,1,,0.8,,,,0.56,3.1,0.45,4.2,,38,293,0.028,,,,1173,,,,,,2.75,48,,68.6,,,,,330,,,,0.70279,,,,,1.04,-85.42,-1554,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-003,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-005,glass,49.37,1.03,15.86,9.02,,8.87,0.11,8.91,12.32,2.31,0.07,,,,,6.44,2.26,,,,,,,,,,,,,,,,,,,,,,,0.358,0.95,,,71.31,,,,0.061,,,,,0.70264,0.51312,18.39,15.51,37.97,2.45,-95.62,-2750,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-005,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, glassy pillow basalt, sparsely plag-ol phyric; large rounded plag and ol phenocrysts, picotite as rounded corroded phenocrysts; plag, ol & picotite as smaller euhedral phenocrysts",fresh,"Cohen,1982(78); Fisk,1982(4)",EMP(2); EMP(622); MS(619); MS(620); MS-ID(621)
DST0041-005,whole rock,49.76,1.1,15.71,8.05,1.17,9.1,0.16,8.99,12.09,2.26,0.07,0.11,2.8,8.6,,,2.6,0.9,,0.7,,,,0.4,2.6,0.38,12.5,,49,445,0.036,,,,672,,,,,,1.29,44,,108,,,,,268,,,,0.70274,0.51311,,,,2.45,-95.62,-2750,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-005,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, glassy pillow basalt, sparsely plag-ol phyric; large rounded plag and ol phenocrysts, picotite as rounded corroded phenocrysts; plag, ol & picotite as smaller euhedral phenocrysts",fresh,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(846)
DST0041-008-A,glass,49.83,1.55,14.09,,,11.42,0.2,7.74,10.96,2.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,-95.33,-3136,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-008,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
DST0041-008-A,whole rock,50.23,1.62,14.22,10.39,1.74,11.96,0.2,7.52,11.06,2.34,0.14,0.19,4.5,13.5,,10.7,4,1.4,,1.1,,,,0.81,4.4,0.61,30.2,,47,232,0.045,,,,1216,,,,,,3.19,46,,89.9,,,,,349,,,,0.7028,,,,,2.6,-95.33,-3136,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-008,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, cryptocrystalline",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
TRI0164-001-002A,whole rock,50.13,1.89,13.56,11.01,2.25,,,6.37,11.01,2.52,0.14,0.17,4.9,15.1,,11.8,4.8,1.6,,1.2,,,,0.74,4.8,0.65,24.9,,48,60,0.03,,,,1342,,,,,,2.41,47,,82.5,,,,,458,,,,0.70273,,,,,0.74,-87.48,-2180,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-001,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
