sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
VEM0033-6-024,GL,51.32,0.87,15.3,,,9.44,0.08,8.57,12.22,2.35,,,14.75,54.8,-2712 to -2775,SPREADING_CENTER;GULF OF ADEN,VEM0033-6-024,VM33,dredge,"basalt; basalt; , ",fresh,"Cohen,1980(173)",EMP(701)
VEM0033-1-001,GL,50.9,2.12,15.25,,,10.02,0.16,8.02,10.27,2.89,0.22,,-50.408,131.05,-3091,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,VEM0033-1-001,VM33,dredge,"basalt; basalt; , ",fresh,"Cohen,1980(173)",EMP(701)
DIS1967-6243,GL,51.43,1.31,14.89,9.43,,,0.03,7.84,12.7,2.11,0.15,,12.552,47.653,-2260 to -2550,SPREADING_CENTER;GULF OF ADEN,DIS1967-6243,DISCOVERY1967,dredge,"basalt; basalt; , ",fresh,"Cohen,1982(78)",EMP(622)
078_I5.27N,GL,50.3,1.44,15.62,10.06,,,0.02,8.47,10.95,3.19,0.08,,5.45,61.83,,SPREADING_CENTER;CARLSBERG RIDGE,078_I5.27N,UNKNOWN,dredge,"basalt; basalt; , ",fresh,"Cohen,1982(78)",EMP(622)
DIS1967-6249,GL,50.12,1.56,14.99,10.03,,,0.02,7.99,10.38,3.2,0.08,,2.73,59.87,,SPREADING_CENTER;CARLSBERG RIDGE,DIS1967-6249,DISCOVERY1967,dredge,"basalt; basalt; , ",fresh,"Cohen,1982(78)",EMP(622)
MOA8801-019-054,GL,50.61,2.52,14.1,,,11.72,0.13,6.58,10.75,2.91,0.13,0.25,-50.147,127.017,-3200,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-019,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
MOA8801-009-014,GL,50.52,1.95,14.67,,,10.3,0.18,7.2,11.41,3,0.08,0.18,-50.198,127.063,-3200 to -3400,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-009,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
MOA8801-009-017,GL,50.38,1.96,14.7,,,10.24,0.15,7.18,11.35,2.92,0.08,0.19,-50.198,127.063,-3200 to -3400,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-009,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
MOA8801-017-001,GL,50.72,1.29,15.83,,,8.93,0.17,8.4,11.82,2.72,0.04,0.13,-50.222,127.417,-3100 to -3400,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-017,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
MOA8801-017-018,GL,50.84,1.32,15.97,,,8.94,0.14,8.37,11.82,2.79,0.03,0.13,-50.222,127.417,-3100 to -3400,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-017,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
MOA8801-016-028,GL,50.62,1.46,15.49,,,9.14,0.17,7.63,12.12,2.96,0.06,0.14,-50.163,127.577,-3500 to -3600,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-016,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
MOA8801-016-009,GL,50.34,1.4,15.78,,,9.02,0.16,7.7,12.16,2.97,0.08,0.11,-50.163,127.577,-3500 to -3600,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-016,MW8801,dredge,"basalt; basalt; , ",fresh,"Danyushevsky,2000(1001)",EMP(2803)
