sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
MELPROT-5-025-211,whole rock,49.28,1.59,15.52,9.06,1.36,,,0.15,7.59,11.18,2.55,0.5,0.26,,,,12.76,3.753,,,,,,,,,,76,,48,257,,66,,,,,,15.6,126,0.707,8.61,38,,193.2,,,,,281,34,87,122,0.70291,0.513062,18.271,15.484,37.977,-44.815,35.847,-1840 to -1920,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-025,PROTEA,dredge,"basalt, basalt, aphyric",,"Le roex,1989(26); Mahoney,1992(29)",MS(223); MS-ID(225); XRF(212)
MELPROT-5-026-001,whole rock,51.3,1.71,15.31,8.83,1.32,,,0.13,5.05,11.22,2.92,0.51,0.22,,,,13.74,4.384,,,,,,,,,,59,,37,259,,44,,,,,,11.4,67,0.895,9.47,41,,134.3,,,,,305,41,93,128,0.70288,0.513059,18.275,15.53,38.063,-44.733,37.07,-2800 to -3050,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-026,PROTEA,dredge,"basalt, basalt, aphyric",,"Le roex,1989(26); Mahoney,1992(29)",MS(223); MS-ID(225); XRF(212)
MELPROT-5-028-009,glass,,,,,,,,,,,,,,,,,10.4,3.212,,,,,,,,,,,,,,,,,,,,,,,0.678,4.54,,,158,,,,,,,,,0.70399,0.512785,17.152,15.418,37.318,-43.377,39.852,-2400 to -2750,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-028,PROTEA,dredge,"basalt, basalt, aphyric",fresh,"Mahoney,1992(29)",MS(223); MS-ID(225)
MELPROT-5-028-009,whole rock,49.46,1.3,15.2,8.72,1.31,,,0.18,8.76,10.9,2.57,0.35,0.14,,,,,,,,,,,,,,,104,,53,332,,80,,,,,,9.2,220,,6,40,,202,,,,,254,33,99,111,,,,,,-43.377,39.852,-2400 to -2750,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-028,PROTEA,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1989(26)",XRF(212)
MELPROT-5-028-026,whole rock,50.35,1.62,15.44,9.19,1.38,,,0.19,6.79,10.83,2.78,0.52,0.19,,,,11.97,3.752,,,,,,,,,,138,,50,153,,57,,,,,,8.5,84,0.828,6.87,40,,188,,,,,296,31,89,109,0.7041,0.512808,17.083,15.414,37.296,-43.377,39.852,-2400 to -2750,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-028,PROTEA,dredge,"basalt, basalt, sp phyric",,"Le roex,1989(26); Mahoney,1992(29)",MS(223); MS-ID(225); XRF(212)
MELPROT-5-037-001,glass,,,,,,,,,,,,,,,,,16.96,3.844,,,,,,,,,,,,,,,,,,,,,,,1.4,3.9,,,321.1,,,,,,,,,0.70383,0.512785,18.351,15.544,38.644,-40.13,45.76,-3000 to -3150,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-037,PROTEA,dredge,"basalt, basalt, plag-phyric",fresh,"Mahoney,1992(29)",MS(223); MS-ID(225)
MELPROT-5-037-001,whole rock,47.94,0.96,21.19,5.78,0.87,,,0.09,6.18,13.84,2.14,0.61,0.2,,,,,,,,,,,,,,,147,,35,267,,63,,,,,,20,102,,12.6,29,,307,,,,,156,16.9,48,82,,,,,,-40.13,45.76,-3000 to -3150,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-037,PROTEA,dredge,"basalt, basalt, plag-phyric",fresh,"Le roex,1989(26)",XRF(212)
MELPROT-5-037-002,glass,,,,,,,,,,,,,,,,,12.95,3.92,,,,,,,,,,,,,,,,,,,,,,,,6.63,,,162.1,,,,,,,,,0.70325,0.512992,18.04,15.469,38.16,-40.13,45.76,-3000 to -3150,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-037,PROTEA,dredge,"basalt, basalt, aphyric",fresh,"Mahoney,1989(28); Mahoney,1992(29)",MS(223); MS(566); MS-ID(225); MS-ID(562)
MELPROT-5-037-002,whole rock,50.47,1.56,15.24,8.59,1.29,,,0.14,7.98,10.69,2.85,0.39,0.21,,,,,,,,,,,,,,,72,,49,267,,74,,,,,,13.1,155,,8.4,38,,190,,,,,245,35,89,134,,,,,,-40.13,45.76,-3000 to -3150,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELPROT-5-037,PROTEA,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1989(26)",XRF(212)
AII0107-6-033-001,glass,50.61,2.19,14.64,,,10.98,,,5.52,10.44,3.28,0.58,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.09,15.569,38.826,-54.648,0.068,-937 to -987,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-033,AII107,dredge,"basalt, basalt, ",fresh,"Kurz,1998(545); Melson,(1086)",EMP(3262); MS(865)
