ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Cs
126,"EISSEN,1989(421)",INAA(209),1078,PIS1979-053-002,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.03
127,"EISSEN,1989(421)",INAA(209),1079,PIS1979-053-003,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.03
128,"EISSEN,1989(421)",INAA(209),1081,PIS1979-057-001,17.9684,40.0675,1.00E-04,-1310,-1310,SPREADING_CENTER,RED SEA,WR,0.01
130,"EISSEN,1989(421)",INAA(209),1084,PIS1979-059-003,17.973,40.0642,1.00E-04,-1350,-1350,SPREADING_CENTER,RED SEA,WR,0.02
131,"EISSEN,1989(421)",INAA(209),1086,PIS1979-061-001,17.9797,40.0918,1.00E-04,-1510,-1510,SPREADING_CENTER,RED SEA,WR,0.03
132,"EISSEN,1989(421)",INAA(209),1087,PIS1979-062-001,17.9302,40.0892,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.02
133,"EISSEN,1989(421)",INAA(209),1089,PIS1979-062-003,17.9302,40.0892,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.02
134,"EISSEN,1989(421)",INAA(209),1090,PIS1979-062-004,17.939,40.1045,1.00E-04,-1400,-1400,SPREADING_CENTER,RED SEA,WR,0.03
136,"EISSEN,1989(421)",INAA(209),1094,PIS1979-065-004,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,0.01
137,"EISSEN,1989(421)",INAA(209),1096,PIS1979-066-001,17.9792,40.0667,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.03
138,"EISSEN,1989(421)",INAA(209),1099,PIS1979-066-004,17.9817,40.06,1.00E-04,-1410,-1410,SPREADING_CENTER,RED SEA,WR,0.03
139,"EISSEN,1989(421)",INAA(209),1100,PIS1979-067-001,17.9792,40.055,1.00E-04,-1540,-1540,SPREADING_CENTER,RED SEA,WR,0.02
140,"EISSEN,1989(421)",INAA(209),1102,PIS1979-068-002,17.9582,40.0807,1.00E-04,-1520,-1520,SPREADING_CENTER,RED SEA,WR,0.03
141,"EISSEN,1989(421)",INAA(209),1103,PIS1979-068-003,17.9559,40.0837,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,0.02
142,"EISSEN,1989(421)",INAA(209),1106,PIS1979-070-003,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.01
143,"EISSEN,1989(421)",INAA(209),1107,PIS1979-070-004,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.03
144,"EISSEN,1989(421)",INAA(209),1108,PIS1979-070-005,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.02
145,"EISSEN,1989(421)",INAA(209),1109,PIS1979-071-001,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.04
146,"EISSEN,1989(421)",INAA(209),1110,PIS1979-071-002,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.04
147,"EISSEN,1989(421)",INAA(209),1111,PIS1979-071-003,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.03
148,"EISSEN,1989(421)",INAA(209),1115,PIS1979-072-002,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.03
149,"EISSEN,1989(421)",INAA(209),1117,PIS1979-072-004,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.03
150,"EISSEN,1989(421)",INAA(209),1121,PIS1979-072-008,17.9334,40.0933,0.0001,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.02
1666,"VERMA,1982(3)",MS-ID(26),557,DST0041-001-A,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,3.70E-02
1667,"VERMA,1982(3)",MS-ID(26),568,DST0041-002-A,1.74,-85.12,0.01,-2798,-2798,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.004
1668,"VERMA,1982(3)",MS-ID(26),569,DST0041-003-A,1.04,-85.42,0.01,-1554,-1554,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.028
1669,"VERMA,1982(3)",MS-ID(26),573,DST0041-005,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.036
1670,"VERMA,1982(3)",MS-ID(26),588,DST0041-008-A,2.6,-95.33,1.00E-02,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,4.50E-02
1671,"VERMA,1982(3)",MS-ID(26),7806,MELCCTW-006-001,0.852,-86.547,0.001,-2330,-2432,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,1.00E-03
1672,"VERMA,1982(3)",MS-ID(26),7651,MELCCTW-007-001,0.87,-87.083,1.00E-02,-2388,-2388,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.003
1673,"VERMA,1982(3)",MS-ID(26),7809,MELCCTW-009-001,0.778,-89.228,1.00E-03,-1777,-1845,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.028
1674,"VERMA,1982(3)",MS-ID(26),7805,MELCCTW-010-001,1.998,-91.61,0.001,-1981,-2050,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.04
1675,"VERMA,1982(3)",MS-ID(26),908,TRI0164-001-002A,0.74,-87.48,0.01,-2180,-2180,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.03
1676,"VERMA,1982(3)",MS-ID(26),910,TRI0164-002-001,0.72,-87.86,0.01,-2115,-2115,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.072
1677,"VERMA,1982(3)",MS-ID(26),913,TRI0164-003-001B,0.73,-88.24,0.01,-1994,-1994,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.021
1678,"VERMA,1982(3)",MS-ID(26),918,TRI0164-004-003B,0.75,-88.6,0.01,-1880,-1880,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.017
1679,"VERMA,1982(3)",MS-ID(26),919,TRI0164-005-002,0.78,-88.9,0.01,-1775,-1775,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.021
1680,"VERMA,1982(3)",MS-ID(26),921,TRI0164-006-001,0.84,-89.59,0.01,-1775,-1775,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.144
1681,"VERMA,1982(3)",MS-ID(26),922,TRI0164-006-002,0.84,-89.59,0.01,-1775,-1775,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.034
1682,"VERMA,1982(3)",MS-ID(26),925,TRI0164-007-001,0.86,-89.99,0.01,-1775,-1775,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.027
1683,"VERMA,1982(3)",MS-ID(26),928,TRI0164-008-002,0.91,-90.38,0.01,-1680,-1680,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.054
1684,"VERMA,1982(3)",MS-ID(26),930,TRI0164-009-001,0.93,-90.5,0.01,-1555,-1555,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.089
1685,"VERMA,1982(3)",MS-ID(26),933,TRI0164-010-001,2.02,-91.81,0.01,-1945,-1945,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.088
1686,"VERMA,1982(3)",MS-ID(26),936,TRI0164-011-001,2.09,-92.24,0.01,-1815,-1815,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,ROCK,0.086
