ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Nb
2201,"BOUGAULT,1980(20)",XRF(113),449,CHR0097-003-101,39.1,-29.9,0.1,,,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,29
2202,"BOUGAULT,1980(20)",XRF(113),450,CHR0097-005-001,38.7,-29.95,0.01,-920,-920,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,28
2203,"BOUGAULT,1980(20)",XRF(113),451,CHR0097-005-002,38.7,-29.95,0.01,-920,-920,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,16
2204,"BOUGAULT,1980(20)",XRF(113),452,CHR0097-005-003,38.7,-29.95,0.01,-920,-920,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,13
2205,"BOUGAULT,1980(20)",XRF(113),453,CHR0097-006-001,38.517,-30.3,1.00E-02,-2200,-2200,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,31
2206,"BOUGAULT,1980(20)",XRF(113),454,CHR0098-002-001,35.183,-36.233,1.00E-03,-2940,-3320,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,12
2207,"BOUGAULT,1980(20)",XRF(113),5712,CHR0098-002-201,35.183,-36.233,1.00E-03,-2940,-3320,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,8.5
2208,"BOUGAULT,1980(20)",XRF(113),456,CHR0098-003-001,33.733,-37.667,1.00E-03,-3340,-3580,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,6
2209,"BOUGAULT,1980(20)",XRF(113),5715,CHR0098-003-201,33.733,-37.667,1.00E-03,-3340,-3580,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,5
2210,"BOUGAULT,1980(20)",XRF(113),458,CHR0098-003-004,33.733,-37.667,1.00E-03,-3340,-3580,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,6
2211,"BOUGAULT,1980(20)",XRF(113),459,CHR0098-004,33.5,-39.083,1.00E-03,-2240,-2545,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1.5
2212,"BOUGAULT,1980(20)",XRF(113),5723,CHR0098-005-101,33.033,-39.333,1.00E-03,-2480,-2800,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2
2213,"BOUGAULT,1980(20)",XRF(113),5724,CHR0098-006-101,32.283,-40.35,1.00E-03,-2280,-2320,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2
2214,"BOUGAULT,1980(20)",XRF(113),462,CHR0098-007-001,32.283,-40.183,1.00E-03,-3000,-3380,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2
2215,"BOUGAULT,1980(20)",XRF(113),5731,CHR0098-008-102,31.9,-40.967,1.00E-03,-2960,-3080,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,12
2216,"BOUGAULT,1980(20)",XRF(113),463,CHR0098-008-001,31.9,-40.967,1.00E-03,-2960,-3080,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,9.5
2217,"BOUGAULT,1980(20)",XRF(113),465,CHR0098-008-002,31.9,-40.967,1.00E-03,-2960,-3080,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2
2218,"BOUGAULT,1980(20)",XRF(113),5738,CHR0098-009-101,31.467,-40.95,1.00E-03,-2680,-3020,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2
2219,"BOUGAULT,1980(20)",XRF(113),5739,CHR0098-009-201,31.467,-40.95,1.00E-03,-2680,-3020,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1
2220,"BOUGAULT,1980(20)",XRF(113),5668,CHR0098-010-101,31.067,-41.417,1.00E-03,-3100,-3100,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3.5
2221,"BOUGAULT,1980(20)",XRF(113),469,CHR0098-010-002,31.067,-41.417,1.00E-03,-3100,-3100,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1.5
2222,"BOUGAULT,1980(20)",XRF(113),470,CHR0098-010-003,31.067,-41.417,1.00E-03,-3100,-3100,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1.5
2223,"BOUGAULT,1980(20)",XRF(113),471,CHR0098-011,30.683,-41.817,1.00E-03,-3500,-3640,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1.5
2224,"BOUGAULT,1980(20)",XRF(113),5682,CHR0098-012-103,30.167,-41.917,1.00E-03,-2300,-2500,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2.5
2225,"BOUGAULT,1980(20)",XRF(113),5686,CHR0098-013-204,29.933,-42.767,1.00E-03,-3300,-3780,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3
2226,"BOUGAULT,1980(20)",XRF(113),5688,CHR0098-014-101,29.283,-43.083,1.00E-03,-2300,-2500,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1.5
2227,"BOUGAULT,1980(20)",XRF(113),5689,CHR0098-014-103,29.283,-43.083,1.00E-03,-2300,-2500,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2.5
2228,"BOUGAULT,1980(20)",XRF(113),5694,CHR0098-015-102,27.767,-44.083,1.00E-03,-3340,-3840,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,1.5
2229,"BOUGAULT,1980(20)",XRF(113),477,CHR0098-015-002,27.767,-44.083,1.00E-03,-3340,-3840,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2.5
2230,"BOUGAULT,1980(20)",XRF(113),478,CHR0098-016-001,25.267,-45.333,1.00E-03,-2760,-3900,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3
2231,"BOUGAULT,1980(20)",XRF(113),5703,CHR0098-016-201,25.267,-45.333,1.00E-03,-2760,-3900,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3.5
2232,"BOUGAULT,1980(20)",XRF(113),5704,CHR0098-016-202,25.267,-45.333,1.00E-03,-2760,-3900,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,5
2233,"BOUGAULT,1980(20)",XRF(113),5705,CHR0098-017-101,24.467,-46.25,1.00E-03,-4350,-4350,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3.8
2234,"BOUGAULT,1980(20)",XRF(113),5706,CHR0098-017-201,24.467,-46.25,1.00E-03,-4350,-4350,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,2.6
2235,"BOUGAULT,1980(20)",XRF(113),5707,CHR0098-017-301,24.467,-46.25,1.00E-03,-4350,-4350,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3.5
2236,"BOUGAULT,1980(20)",XRF(113),5709,CHR0098-017-401,24.467,-46.25,1.00E-03,-4350,-4350,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,3
2448,"NIU,1997(33)",ICPMS(44),997,WASRAI2-001-014,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.525
2449,"NIU,1997(33)",ICPMS(44),998,WASRAI2-001-017,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.989
2450,"NIU,1997(33)",ICPMS(44),999,WASRAI2-003-001,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.386
2451,"NIU,1997(33)",ICPMS(44),1000,WASRAI2-003-003,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.394
2452,"NIU,1997(33)",ICPMS(44),1001,WASRAI2-003-004,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.444
2453,"NIU,1997(33)",ICPMS(44),1002,WASRAI2-004-007,5.6,-103.018,1.00E-03,-2263,-2320,SEAMOUNT,,GL,7.292
2454,"NIU,1997(33)",ICPMS(44),1003,WASRAI2-007-013,8.145,-103.178,1.00E-03,-2087,-2087,SEAMOUNT,,GL,0.581
2455,"NIU,1997(33)",ICPMS(44),1004,WASRAI2-008-008,8.353,-103.023,1.00E-03,-3100,-3900,SEAMOUNT,,GL,1.966
2456,"NIU,1997(33)",ICPMS(44),1006,WASRAI2-010-003,8.348,-104.105,1.00E-03,-2731,-2830,SEAMOUNT,,GL,4.475
2457,"NIU,1997(33)",ICPMS(44),1008,WASRAI2-013-001,8.402,-104.688,1.00E-03,-2150,-2180,SEAMOUNT,,GL,46.001
2458,"NIU,1997(33)",ICPMS(44),1009,WASRAI2-013-002,8.402,-104.688,1.00E-03,-2150,-2180,SEAMOUNT,,GL,3.177
2459,"NIU,1997(33)",ICPMS(44),1010,WASRAI2-015-001,8.768,-104.528,1.00E-03,-1682,-1732,SEAMOUNT,,GL,43.38
2460,"NIU,1997(33)",ICPMS(44),1011,WASRAI2-016-001,8.843,-104.56,1.00E-03,-3000,-3100,SEAMOUNT,,GL,3.298
2461,"NIU,1997(33)",ICPMS(44),1012,WASRAI2-016-002,8.843,-104.56,1.00E-03,-3000,-3100,SEAMOUNT,,GL,1.87
2462,"NIU,1997(33)",ICPMS(44),1013,WASRAI2-017-001,8.912,-104.565,1.00E-03,-2700,-2720,SEAMOUNT,,GL,23.307
2463,"NIU,1997(33)",ICPMS(44),1014,WASRAI2-018-003,8.935,-104.457,1.00E-03,-2720,-2780,SEAMOUNT,,GL,14.002
2464,"NIU,1997(33)",ICPMS(44),1015,WASRAI2-019-004,8.933,-104.405,1.00E-03,-2310,-2360,SEAMOUNT,,GL,1.376
2465,"NIU,1997(33)",ICPMS(44),1016,WASRAI2-020-002,8.995,-104.373,1.00E-03,-2837,-2985,SEAMOUNT,,GL,2.733
2466,"NIU,1997(33)",ICPMS(44),1017,WASRAI2-020-003,8.995,-104.373,1.00E-03,-2837,-2985,SEAMOUNT,,GL,5.019
2467,"NIU,1997(33)",ICPMS(44),1018,WASRAI2-021-006,8.897,-104.143,1.00E-03,-2657,-2711,SEAMOUNT,,GL,2.501
2468,"NIU,1997(33)",ICPMS(44),1019,WASRAI2-022-001,8.897,-104.102,1.00E-03,-2749,-2761,SEAMOUNT,,GL,1.887
2469,"NIU,1997(33)",ICPMS(44),1020,WASRAI2-023-002,9.035,-104.045,1.00E-03,-2920,-3025,SEAMOUNT,,GL,1.069
2470,"NIU,1997(33)",ICPMS(44),1021,WASRAI2-024-001,8.963,-103.208,1.00E-03,-3054,-3140,SEAMOUNT,,GL,1.287
2471,"NIU,1997(33)",ICPMS(44),1022,WASRAI2-024-005,8.963,-103.208,1.00E-03,-3054,-3140,SEAMOUNT,,GL,3.635
2472,"NIU,1997(33)",ICPMS(44),1023,WASRAI2-025-001,8.882,-103.788,1.00E-03,-1940,-2220,SEAMOUNT,,GL,1.212
2473,"NIU,1997(33)",ICPMS(44),1024,WASRAI2-028-003,8.812,-103.902,1.00E-03,-1984,-2076,SEAMOUNT,,GL,3.537
