ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Pb
2448,"NIU,1997(33)",ICPMS(44),997,WASRAI2-001-014,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.453
2449,"NIU,1997(33)",ICPMS(44),998,WASRAI2-001-017,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.457
2450,"NIU,1997(33)",ICPMS(44),999,WASRAI2-003-001,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.157
2451,"NIU,1997(33)",ICPMS(44),1000,WASRAI2-003-003,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.172
2452,"NIU,1997(33)",ICPMS(44),1001,WASRAI2-003-004,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.222
2453,"NIU,1997(33)",ICPMS(44),1002,WASRAI2-004-007,5.6,-103.018,1.00E-03,-2263,-2320,SEAMOUNT,,GL,0.651
2454,"NIU,1997(33)",ICPMS(44),1003,WASRAI2-007-013,8.145,-103.178,1.00E-03,-2087,-2087,SEAMOUNT,,GL,0.168
2455,"NIU,1997(33)",ICPMS(44),1004,WASRAI2-008-008,8.353,-103.023,1.00E-03,-3100,-3900,SEAMOUNT,,GL,0.347
2456,"NIU,1997(33)",ICPMS(44),1006,WASRAI2-010-003,8.348,-104.105,1.00E-03,-2731,-2830,SEAMOUNT,,GL,0.584
2457,"NIU,1997(33)",ICPMS(44),1008,WASRAI2-013-001,8.402,-104.688,1.00E-03,-2150,-2180,SEAMOUNT,,GL,2.061
2458,"NIU,1997(33)",ICPMS(44),1009,WASRAI2-013-002,8.402,-104.688,1.00E-03,-2150,-2180,SEAMOUNT,,GL,0.502
2459,"NIU,1997(33)",ICPMS(44),1010,WASRAI2-015-001,8.768,-104.528,1.00E-03,-1682,-1732,SEAMOUNT,,GL,2.013
2460,"NIU,1997(33)",ICPMS(44),1011,WASRAI2-016-001,8.843,-104.56,1.00E-03,-3000,-3100,SEAMOUNT,,GL,0.454
2461,"NIU,1997(33)",ICPMS(44),1012,WASRAI2-016-002,8.843,-104.56,1.00E-03,-3000,-3100,SEAMOUNT,,GL,0.39
2462,"NIU,1997(33)",ICPMS(44),1013,WASRAI2-017-001,8.912,-104.565,1.00E-03,-2700,-2720,SEAMOUNT,,GL,1.256
