ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,U
126,"EISSEN,1989(421)",INAA(209),1078,PIS1979-053-002,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.2
127,"EISSEN,1989(421)",INAA(209),1079,PIS1979-053-003,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.14
128,"EISSEN,1989(421)",INAA(209),1081,PIS1979-057-001,17.9684,40.0675,1.00E-04,-1310,-1310,SPREADING_CENTER,RED SEA,WR,0.05
130,"EISSEN,1989(421)",INAA(209),1084,PIS1979-059-003,17.973,40.0642,1.00E-04,-1350,-1350,SPREADING_CENTER,RED SEA,WR,0.21
131,"EISSEN,1989(421)",INAA(209),1086,PIS1979-061-001,17.9797,40.0918,1.00E-04,-1510,-1510,SPREADING_CENTER,RED SEA,WR,1.21
132,"EISSEN,1989(421)",INAA(209),1087,PIS1979-062-001,17.9302,40.0892,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.19
133,"EISSEN,1989(421)",INAA(209),1089,PIS1979-062-003,17.9302,40.0892,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.18
134,"EISSEN,1989(421)",INAA(209),1090,PIS1979-062-004,17.939,40.1045,1.00E-04,-1400,-1400,SPREADING_CENTER,RED SEA,WR,0.27
135,"EISSEN,1989(421)",INAA(209),1092,PIS1979-065-002,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,0.06
136,"EISSEN,1989(421)",INAA(209),1094,PIS1979-065-004,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,1.16
137,"EISSEN,1989(421)",INAA(209),1096,PIS1979-066-001,17.9792,40.0667,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.17
138,"EISSEN,1989(421)",INAA(209),1099,PIS1979-066-004,17.9817,40.06,1.00E-04,-1410,-1410,SPREADING_CENTER,RED SEA,WR,0.33
139,"EISSEN,1989(421)",INAA(209),1100,PIS1979-067-001,17.9792,40.055,1.00E-04,-1540,-1540,SPREADING_CENTER,RED SEA,WR,0.21
140,"EISSEN,1989(421)",INAA(209),1102,PIS1979-068-002,17.9582,40.0807,1.00E-04,-1520,-1520,SPREADING_CENTER,RED SEA,WR,0.24
141,"EISSEN,1989(421)",INAA(209),1103,PIS1979-068-003,17.9559,40.0837,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,0.32
142,"EISSEN,1989(421)",INAA(209),1106,PIS1979-070-003,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.14
143,"EISSEN,1989(421)",INAA(209),1107,PIS1979-070-004,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.4
144,"EISSEN,1989(421)",INAA(209),1108,PIS1979-070-005,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.4
145,"EISSEN,1989(421)",INAA(209),1109,PIS1979-071-001,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.13
146,"EISSEN,1989(421)",INAA(209),1110,PIS1979-071-002,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.33
147,"EISSEN,1989(421)",INAA(209),1111,PIS1979-071-003,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,13.8
148,"EISSEN,1989(421)",INAA(209),1115,PIS1979-072-002,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.12
149,"EISSEN,1989(421)",INAA(209),1117,PIS1979-072-004,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,3.4
150,"EISSEN,1989(421)",INAA(209),1121,PIS1979-072-008,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.18
2448,"NIU,1997(33)",ICPMS(44),997,WASRAI2-001-014,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.024
