ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Zr
126,"EISSEN,1989(421)",INAA(209),1078,PIS1979-053-002,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,50
127,"EISSEN,1989(421)",INAA(209),1079,PIS1979-053-003,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,54
128,"EISSEN,1989(421)",INAA(209),1081,PIS1979-057-001,17.9684,40.0675,1.00E-04,-1310,-1310,SPREADING_CENTER,RED SEA,WR,42
129,"EISSEN,1989(421)",INAA(209),1082,PIS1979-059-001,17.973,40.0508,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,44
130,"EISSEN,1989(421)",INAA(209),1084,PIS1979-059-003,17.973,40.0642,1.00E-04,-1350,-1350,SPREADING_CENTER,RED SEA,WR,31
131,"EISSEN,1989(421)",INAA(209),1086,PIS1979-061-001,17.9797,40.0918,1.00E-04,-1510,-1510,SPREADING_CENTER,RED SEA,WR,51
132,"EISSEN,1989(421)",INAA(209),1087,PIS1979-062-001,17.9302,40.0892,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,49
133,"EISSEN,1989(421)",INAA(209),1089,PIS1979-062-003,17.9302,40.0892,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,48
134,"EISSEN,1989(421)",INAA(209),1090,PIS1979-062-004,17.939,40.1045,1.00E-04,-1400,-1400,SPREADING_CENTER,RED SEA,WR,68
135,"EISSEN,1989(421)",INAA(209),1092,PIS1979-065-002,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,37
136,"EISSEN,1989(421)",INAA(209),1094,PIS1979-065-004,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,28
137,"EISSEN,1989(421)",INAA(209),1096,PIS1979-066-001,17.9792,40.0667,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,56
138,"EISSEN,1989(421)",INAA(209),1099,PIS1979-066-004,17.9817,40.06,1.00E-04,-1410,-1410,SPREADING_CENTER,RED SEA,WR,55
139,"EISSEN,1989(421)",INAA(209),1100,PIS1979-067-001,17.9792,40.055,1.00E-04,-1540,-1540,SPREADING_CENTER,RED SEA,WR,74
140,"EISSEN,1989(421)",INAA(209),1102,PIS1979-068-002,17.9582,40.0807,1.00E-04,-1520,-1520,SPREADING_CENTER,RED SEA,WR,69
141,"EISSEN,1989(421)",INAA(209),1103,PIS1979-068-003,17.9559,40.0837,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,86
142,"EISSEN,1989(421)",INAA(209),1106,PIS1979-070-003,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,70
143,"EISSEN,1989(421)",INAA(209),1107,PIS1979-070-004,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,74
144,"EISSEN,1989(421)",INAA(209),1108,PIS1979-070-005,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,58
145,"EISSEN,1989(421)",INAA(209),1109,PIS1979-071-001,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,57
147,"EISSEN,1989(421)",INAA(209),1111,PIS1979-071-003,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,91
148,"EISSEN,1989(421)",INAA(209),1115,PIS1979-072-002,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,48
149,"EISSEN,1989(421)",INAA(209),1117,PIS1979-072-004,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,55
150,"EISSEN,1989(421)",INAA(209),1121,PIS1979-072-008,17.9334,40.0933,0.0001,-1630,-1630,SPREADING_CENTER,RED SEA,WR,50
1710,"CLAGUE,1981(6)",XRF(5),559,DST0041-001-A11,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,210
1711,"CLAGUE,1981(6)",XRF(5),560,DST0041-001-A12,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,265
1712,"CLAGUE,1981(6)",XRF(5),561,DST0041-001-A17,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,230
1713,"CLAGUE,1981(6)",XRF(5),562,DST0041-001-A24,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,220
1714,"CLAGUE,1981(6)",XRF(5),563,DST0041-001-A26,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,250
1715,"CLAGUE,1981(6)",XRF(5),564,DST0041-001-A35,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,215
1716,"CLAGUE,1981(6)",XRF(5),558,DST0041-001-A09,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,240
1717,"CLAGUE,1981(6)",XRF(5),574,DST0041-005-C95,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,75
1719,"CLAGUE,1981(6)",XRF(5),576,DST0041-005-D08,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,80
1720,"CLAGUE,1981(6)",XRF(5),577,DST0041-006-996,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,350
1721,"CLAGUE,1981(6)",XRF(5),578,DST0041-006-997,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,345
1722,"CLAGUE,1981(6)",XRF(5),579,DST0041-006-998,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,180
1723,"CLAGUE,1981(6)",XRF(5),580,DST0041-006-999,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,100
1725,"CLAGUE,1981(6)",XRF(5),582,DST0041-006-C32,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,560
1726,"CLAGUE,1981(6)",XRF(5),584,DST0041-006-D64,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,280
1727,"CLAGUE,1981(6)",XRF(5),589,DST0041-008-H27,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,90
1728,"CLAGUE,1981(6)",XRF(5),590,DST0041-008-H30,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,80
1729,"CLAGUE,1981(6)",XRF(5),591,DST0041-008-H32,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,110
1730,"CLAGUE,1981(6)",XRF(5),977,WASSOTW-007-002,3.2,-83.04,0.01,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,65
1731,"CLAGUE,1981(6)",XRF(5),980,WASSOTW-007-004,3.2,-83.04,0.01,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,90
1732,"CLAGUE,1981(6)",XRF(5),982,WASSOTW-007-005,3.2,-83.04,1.00E-02,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,85
1733,"CLAGUE,1981(6)",XRF(5),985,WASSOTW-017-002,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,180
1734,"CLAGUE,1981(6)",XRF(5),988,WASSOTW-017-004,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,145
