sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
THO0029-011-002,GL,48.02,1.16,17.08,,,9.77,0.18,9.28,11.63,2.61,0.03,0.06,46.39,-129.97,-2480,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0029-011,TT029,dredge,"basalt; basalt; , ",fresh,"Delaney,1978(158)",AAS(3225); EMP(3226)
PS4CSM4-1501-001,GL,51.11,2.17,14.03,10.72,1.46,,,5.58,10.12,2.87,0.57,0.22,49.7235,-130.313,-1871,SPREADING_CENTER;EXPLORER RIDGE,PS4CSM4-1501-001,CASM4,submersible,"basalt; basalt; , very fresh lobe; aphyric, glassy to aphanitic; <1% vesicles .1-.2mm evenly distributed, some 1 to 2 cm vesicles",fresh,"Michael,1987(82)",COL(231); EMP(229)
PS4CSM4-1502-009,GL,51.36,2.35,13.78,11.1,1.62,,,5.05,9.69,2.99,0.73,0.23,49.74,-130.3,-1884,SPREADING_CENTER;EXPLORER RIDGE,PS4CSM4-1502-009,CASM4,submersible,"basalt; basalt; , ",fresh,"Michael,1987(82)",COL(231); EMP(229)
PS4CSM4-1505-001,GL,51.05,1.56,14.77,9.23,1.08,,,6.95,11.56,2.42,0.5,0.19,49.758,-130.282,-1801,SPREADING_CENTER;EXPLORER RIDGE,PS4CSM4-1505-001,CASM4,submersible,"basalt; basalt; , ",fresh,"Michael,1987(82)",COL(231); EMP(229)
ENV7906-032-001,GL,49.5,1.23,15.87,7.84,0.66,,,9.58,12.24,2.16,0.26,0.14,49.99,-129.88,-2375 to -2465,SPREADING_CENTER;EXPLORER RIDGE,ENV7906-032,79-06,dredge,"basalt; basalt; , ",fresh,"Michael,1987(82)",COL(231); EMP(229)
ENV7906-032-039,GL,50.61,1.65,15.03,9.22,0.77,,,7.19,11.5,2.43,0.4,0.2,49.99,-129.88,-2375 to -2465,SPREADING_CENTER;EXPLORER RIDGE,ENV7906-032,79-06,dredge,"basalt; basalt; , ",fresh,"Michael,1987(82)",COL(231); EMP(229)
KAK83NP-3-16-A,GL,50.3,1.92,14.6,,,10.9,0.21,7.1,11.2,2.56,0.26,0.21,41.522,-127.457,-3340,SPREADING_CENTER;GORDA RIDGE,KAK83NP-3-16-B,KK2-83-NP,dredge,"basalt; basalt; , ",fresh,"Davis,1998(871)",EMP(1690)
KAK83NP-3-16-B,GL,50,1.58,15.3,,,9.69,0.18,7.8,11.6,2.8,0.13,0.11,41.522,-127.457,-3340,SPREADING_CENTER;GORDA RIDGE,KAK83NP-3-16-B,KK2-83-NP,dredge,"basalt; basalt; , ",fresh,"Davis,1998(871)",EMP(1690)
LEE86NC-3-010-A,GL,51,1.3,15.4,,,9.39,0.17,8.16,11.8,2.51,0.06,0.12,41.448,-127.423,,SPREADING_CENTER;GORDA RIDGE,LEE86NC-3-010,L3-86-NC,dredge,"basalt; basalt; , plag-phyric (>20%)",fresh,"Davis,1998(871)",EMP(1690)
LEE86NC-3-010-B,GL,50.6,1.71,15.1,,,10.6,0.2,7.4,11.3,2.77,0.09,0.16,41.448,-127.423,,SPREADING_CENTER;GORDA RIDGE,LEE86NC-3-010,L3-86-NC,dredge,"basalt; basalt; , plag-phyric (>20%)",fresh,"Davis,1998(871)",EMP(1690)
