sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Ga,Hf,K,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
THO0152-001-017,glass,51.08,1.6,14.97,,,9.72,,0.18,7.03,12.37,2.83,0.32,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.845,-129.155,-2440,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-001,TT152,dredge,"basalt, basalt, aphyric; gm:glassy to feathery",fresh,"Karsten,1990(237)",EMP(487)
THO0152-001-017,whole rock,50.59,1.59,14.78,,,,10.42,0.19,7.53,12.1,2.48,0.37,0.22,,,,,,,,,,,,,,,,,196,,17,,,10.8,64,,4.5,,,,198,,,,281,27.8,98,124,0.70243,,,,,47.845,-129.155,-2440,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-001,TT152,dredge,"basalt, basalt, aphyric; gm:glassy to feathery",fresh,"Eaby,1984(151); Karsten,1990(237)",MS(468); XRF(488)
THO0152-001-024,whole rock,50.12,1.59,14.79,,,,10.37,0.17,7.38,12.04,2.49,0.38,0.22,7.76,22.2,,13.8,3.6,1.34,,0.61,,,,,2.96,0.426,,73,193,,17,2.69,,10.4,64,,4.5,,44.9,,195,1.84,,,270,27.4,85,122,0.70251,0.51317,,,,47.845,-129.155,-2440,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-001,TT152,dredge,"basalt, basalt, microlitic; gm:intersertal to intergranular",fresh,"Karsten,1988(542); Liias,1986(154)",INAA(266); MS(267); XRF(385); XRF(386)
THO0152-013-001,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70225,0.51314,,,,47.208,-129.124,-2625,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-013,TT152,dredge,"basalt, basalt, porphyritic; gm:glassy to sperulitic",fresh,"Rhodes,1990(163)",MS(357)
THO0152-013-001,whole rock,49.9,2.33,13.29,,,,14.72,0.26,6.28,10.45,2.37,0.14,0.25,5.7,19,,15.3,5,1.77,,1.12,,,,,5.65,0.81,,66,89,,20,4.2,,4.7,54,,1.2,,47.7,,109,1.1,,,445,50.5,137,165,,,,,,47.208,-129.124,-2625,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-013,TT152,dredge,"basalt, basalt, porphyritic; gm:glassy to sperulitic",fresh,"Liias,1986(154); Rhodes,1990(163)",INAA(266); INAA(356); XRF(265)
THO0152-021-041,glass,50,1.91,14.21,,,12.1,,0.19,6.72,11.09,2.63,0.15,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.926,-129.262,-2410 to -2520,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-021,TT152,dredge,"basalt, basalt, aphyric; gm:sperulitic to feathery",fresh,"Eaby,1984(151)",EMP(469)
THO0152-021-041,whole rock,49.59,1.93,13.97,,,,13.6,0.22,6.76,11.02,2.35,0.16,0.19,,,,,,,,,,,,,,,,,193,,18,,,7.7,67,,2,,,,95,,,,370,42.7,123,132,0.70246,,,,,46.926,-129.262,-2410 to -2520,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-021,TT152,dredge,"basalt, basalt, aphyric; gm:sperulitic to feathery",fresh,"Eaby,1984(151); Liias,1986(154)",MS(468); XRF(265)
THO0152-033-003,glass,50.91,1.76,13.97,,,11.9,,0.2,6.73,11.8,2.71,0.17,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70245,,,,,46.653,-129.427,-2425 to -2511,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-033,TT152,dredge,"basalt, basalt, aphyric, glomeroporphyritic; gm:glassy to feathery",fresh,"Eaby,1984(151)",EMP(470); MS(468)
THO0152-033-003,whole rock,50.04,1.54,14.07,,,,12.32,0.21,7.58,11.56,2.12,0.15,0.17,,,,,,,,,,,,,,,,,179,,18,,,5.8,76,,2.4,,,,103,,,,250,35.4,118,106,,,,,,46.653,-129.427,-2425 to -2511,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-033,TT152,dredge,"basalt, basalt, aphyric, glomeroporphyritic; gm:glassy to feathery",fresh,"Liias,1986(154)",XRF(265)
THO0152-037-000,glass,50.43,1.89,13.56,,,11.95,13.44,0.22,6.44,10.62,2.57,0.22,0.24,,,,,,,,,,,,,,,,,77,,21,,,7.5,50,0.537,2.3,,,,115,,,0.161,343,50,122,181,0.70261,,,,,44.617,-130.395,-2235 to -2240,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-037,TT152,dredge,"basalt, basalt, ",fresh,"Eaby,1984(151); Fine,1985(553); Kadko,1985(735); Liias,1986(154)",EMP(2346); MS(468); MS-ID(888); XRF(265)
THO0152-037-000,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529,,,,,,,0.559,0.221,,,,,0.70254,0.513175,18.468,15.437,37.701,44.617,-130.395,-2235 to -2240,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-037,TT152,dredge,"basalt, basalt, ",fresh,"Hegner,1987(204)",MS(478); MS-ID(479)
THO0152-037-011,glass,51.09,1.93,13.76,,,12.08,,0.17,6.31,10.72,2.77,0.22,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70255,,,,,44.617,-130.395,-2235 to -2240,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-037,TT152,dredge,"basalt, basalt, aphyric; gm:glassy to sperulitic",fresh,"Eaby,1984(151)",EMP(469); MS(468)
THO0152-037-011,whole rock,50.33,1.89,13.58,,,,13.37,0.21,6.35,10.7,2.84,0.24,0.25,,,,,,,,,,,,,,,,,80,,20,,,7,50,,2.1,,,,116,,,,352,50.5,124,180,,,,,,44.617,-130.395,-2235 to -2240,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-037,TT152,dredge,"basalt, basalt, aphyric; gm:glassy to sperulitic",fresh,"Liias,1986(154)",XRF(265)
THO0152-043-000,glass,49.34,1.32,15.36,,,,10.36,0.18,7.79,12.28,2.08,0.11,0.13,3.36,10.76,,8.5,2.84,1.06,,0.72,,,,,3.07,0.465,,56,356,,17,2.21,,4.3,95,,1.5,,42.8,,116,0.73,,,286,28,88,84,0.70241,0.51317,,,,44.993,-130.205,-2282,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-043,TT152,dredge,"basalt, basalt, ",fresh,"Liias,1986(154); Rhodes,1990(163)",INAA(266); MS(357); XRF(265)
THO0152-043-000,whole rock,,,,,,,,,,,,,,3.4,10.8,,8.5,2.84,1.06,,,,,,,3.07,0.47,,,,,,2.2,,,,,,,42.8,,,0.7,,,,,,,,,,,,44.993,-130.205,-2282,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-043,TT152,dredge,"basalt, basalt, ",fresh,"Rhodes,1990(163)",INAA(356)
THO0152-047-039,glass,48.98,1.25,16.7,,,9.51,,0.16,8.52,12.19,2.53,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7024,0.51319,,,,45.295,-130.087,-2400 to -2450,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-047,TT152,dredge,"basalt, basalt, aphyric; gm:glassy to variolitic",fresh,"Eaby,1984(151); Rhodes,1990(163)",EMP(469); MS(357)
THO0152-047-039,whole rock,48.41,1.22,16.17,,,,10.44,0.18,8.54,11.99,2.25,0.09,0.11,2.7,10.3,,7.8,2.74,1.1,,0.6,,,,,3.03,0.44,,78,325,,17,2,,2.5,140,,0.91,,43.4,,117,1.1,,,241,27.6,99,79,0.70254,,,,,45.295,-130.087,-2400 to -2450,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-047,TT152,dredge,"basalt, basalt, aphyric; gm:glassy to variolitic",fresh,"Eaby,1984(151); Liias,1986(154); Rhodes,1990(163)",INAA(266); INAA(356); MS(468); XRF(265)
THO0152-048-000,glass,49.53,1.4,15.03,,,,10.86,0.18,7.8,12.2,2.34,0.13,0.12,3.8,11.8,,9.4,3.14,1.16,,0.67,,,,,3.07,0.421,,53,358,,16,2.28,,3.9,99,,1.1,,43.6,,126,0.72,,,232,27.9,90,91,0.70238,0.51314,,,,45.4767,-129.9983,-2460 to -2480,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-048,TT152,dredge,"basalt, basalt, ",fresh,"Liias,1986(154); Rhodes,1990(163)",INAA(266); MS(357); XRF(265)
THO0152-048-000,whole rock,,,,,,,,,,,,,,3.8,11.8,,9.4,3.14,1.16,,,,,,,3.07,0.42,,,,,,2.3,,,,,,,43.6,,,0.7,,,,,,,,,,,,45.4767,-129.9983,-2460 to -2480,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-048,TT152,dredge,"basalt, basalt, ",fresh,"Rhodes,1990(163)",INAA(356)
THO0152-053-006,glass,49.66,1.5,14.92,,,10.51,,0.15,7.25,12.39,2.75,0.17,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.962,-130.055,-1460 to -1510,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-053,TT152,dredge,"basalt, basalt, aphyric; gm:sperulitic to feathery",fresh,"Eaby,1984(151)",EMP(469)
THO0152-053-006,whole rock,49.17,1.44,14.69,,,,12.02,0.2,7.4,12.31,2.62,0.19,0.13,,,,,,,,,,,,,,,,,287,,17,,,4.8,51,,2.1,,,,150,,,,288,27.6,92,94,0.7025,,,,,45.962,-130.055,-1460 to -1510,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-053,TT152,dredge,"basalt, basalt, aphyric; gm:sperulitic to feathery",fresh,"Eaby,1984(151); Rhodes,1990(163)",MS(468); XRF(355)
