ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Pb206_Pb204,stdev_Pb206,Pb207_Pb204,stdev_Pb207,Pb208_Pb204,stdev_Pb208
8660,"CASTILLO,1998(544)",MS(337),MELWEST-021-006E,-54.59,-138.53,0.01,-1300,-1300,SEAMOUNT,,GL,18.889,2.00E-03,15.539,0.002,,
8661,"CASTILLO,1998(544)",MS(337),MELWEST-022-001A,-54.84,-137.88,0.01,-2003,-2003,SEAMOUNT,,GL,18.782,0.01,15.544,0.008,,
8662,"CASTILLO,1998(544)",MS(337),MELWEST-057-003,-55.56,-122.17,0.01,-1460,-1460,SEAMOUNT,,GL,18.498,5.00E-03,15.518,0.004,37.749,9.00E-03
8772,"VLASTELIC,1998(715)",MS(352),ATAPACA-015-001,-54.55,-138.32,,-1645,-1645,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,GL,18.591,,15.511,,38.145,
8781,"VLASTELIC,1998(715)",MS(352),ATAPACA-015-002,-54.55,-138.32,,-1645,-1645,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,WR,18.551,,15.514,,38.107,
8790,"VLASTELIC,1998(715)",MS(352),ATAPACA-015-003,-54.55,-138.32,,-1645,-1645,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,WR,18.549,,15.497,,38.036,
8799,"VLASTELIC,1998(715)",MS(352),ATAPACA-016-002,-54.65,-138.54,,-1964,-1964,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,WR,18.311,,15.524,,37.966,
8806,"VLASTELIC,1998(715)",MS(352),ATAPACA-016-003,-54.65,-138.54,,-1964,-1964,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,WR,18.69,,15.536,,38.368,
8815,"VLASTELIC,1998(715)",MS(352),ATAPACA-016-005,-54.65,-138.54,,-1964,-1964,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,GL,18.815,,15.548,,38.557,
8824,"VLASTELIC,1998(715)",MS(352),ATAPACA-016-005,-54.65,-138.54,,-1964,-1964,SPREADING_CENTER,PACIFIC-ANTARCTIC RIDGE,GL,18.781,,15.524,,38.403,
8825,"VLASTELIC,1998(715)",MS(352),ATAPACA-017-001,-53.94,-139.95,,-342,-342,ASEISMIC_RIDGE,,WR,18.777,,15.551,,38.458,
8834,"VLASTELIC,1998(715)",MS(352),ATAPACA-017-003,-53.94,-139.95,,-342,-342,ASEISMIC_RIDGE,,WR,18.768,,15.533,,38.413,
8843,"VLASTELIC,1998(715)",MS(352),ATAPACA-017-004,-53.94,-139.95,,-342,-342,ASEISMIC_RIDGE,,WR,18.801,,15.565,,38.513,
8851,"VLASTELIC,1998(715)",MS(352),ATAPACA-018-001,-53.58,-140.65,,-165,-165,ASEISMIC_RIDGE,,WR,18.79,,15.549,,38.473,
8860,"VLASTELIC,1998(715)",MS(352),ATAPACA-018-002,-53.58,-140.65,,-165,-165,ASEISMIC_RIDGE,,WR,18.765,,15.535,,38.438,
8869,"VLASTELIC,1998(715)",MS(352),ATAPACA-018-003,-53.58,-140.65,,-165,-165,ASEISMIC_RIDGE,,WR,18.626,,15.553,,38.468,
8878,"VLASTELIC,1998(715)",MS(352),ATAPACA-019,-52.55,-142.49,,-1958,-1958,ASEISMIC_RIDGE,,WR,18.552,,15.568,,38.438,
8887,"VLASTELIC,1998(715)",MS(353),ATAPACA-019,-52.55,-142.49,,-1958,-1958,ASEISMIC_RIDGE,,WR,18.505,,15.522,,38.281,
9267,"CASTILLO,1989(165)",MS(358),CON2802-001-001,-26.72,-13.22,0.01,-2500,-2555,SEAMOUNT,,GL,18.244,0.021,15.471,0.021,37.86,0.049
9269,"CASTILLO,1989(165)",MS(358),CON2802-005-005,-26.57,-13.92,0.01,-2700,-2700,SEAMOUNT,,GL,18.269,0.031,15.548,0.027,38.173,0.068
9270,"CASTILLO,1989(165)",MS(358),CON2802-006-003,-26.57,-13.92,0.01,-2926,-2990,SEAMOUNT,,GL,18.334,0.019,15.523,0.018,38.152,0.044
9271,"CASTILLO,1989(165)",MS(358),CON2802-006-004,-26.57,-13.92,0.01,-2926,-2990,SEAMOUNT,,GL,18.269,0.012,15.535,0.011,38.143,0.024
9273,"CASTILLO,1989(165)",MS(358),CON2802-007-005,-26.5426,-13.925,1.00E-03,-2520,-2520,SEAMOUNT,,GL,18.253,0.012,15.515,0.011,38.092,0.024
9274,"CASTILLO,1989(165)",MS(358),CON2802-009,-26.38,-13.34,0.01,-2435,-2550,SEAMOUNT,,GL,18.953,0,15.659,,38.475,1.00E-03
9275,"CASTILLO,1989(165)",MS(358),CON2802-009,-26.38,-13.34,0.01,-2435,-2550,SEAMOUNT,,GL,18.974,1.00E-03,15.686,0.001,38.567,2.00E-03
9277,"CASTILLO,1989(165)",MS(358),CON2802-010-007,-26.36,-13.32,0.01,-2320,-2400,SEAMOUNT,,WR,18.208,6.00E-03,15.483,0.005,37.826,7.00E-03
9278,"CASTILLO,1989(165)",MS(358),CON2802-012-029,-25.7,-13.9109,1.00E-04,-3960,-4000,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,18.304,3.00E-03,15.512,0.002,37.96,7.00E-03
9279,"CASTILLO,1989(165)",MS(358),CON2802-015-002,-25.8325,-13.902,1.00E-04,-3880,-3960,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,18.126,2.00E-03,15.482,0.002,37.731,3.00E-03
9280,"CASTILLO,1989(165)",MS(358),CON2802-018-003,-26.02,-13.868,1.00E-04,-2510,-2510,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,18.397,2.00E-03,15.531,0.002,38.068,7.00E-03
9281,"CASTILLO,1989(165)",MS(358),CON2802-020-001,-26.036,-13.8689,1.00E-04,-2580,-2830,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,18.262,3.00E-03,15.483,0.002,37.858,6.00E-03
13239,"COUSENS,1995(79)",MS(412),TULCUR1-021-004,48.492,-129.038,,-2940,-2940,SPREADING_CENTER,JUAN DE FUCA RIDGE,WR,18.88,,15.49,,38.16,
13243,"COUSENS,1995(79)",MS(412),TULCUR2-022-001,48.447,-129.043,,-2890,-2934,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.58,,15.47,,37.92
13247,"COUSENS,1995(79)",MS(412),TULCUR2-023-002,48.385,-129.063,,-2820,-2830,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.46,,15.5,,37.88
13251,"COUSENS,1995(79)",MS(412),TULCUR2-014-001,48.392,-129.073,,-2570,-2570,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.68,,15.48,,37.98
13255,"COUSENS,1995(79)",MS(412),TULCUR2-024-003,48.403,-129.082,,-2140,-2200,SEAMOUNT,SOUTHWEST SMT,GL,19.15,,15.54,,38.48
13262,"COUSENS,1995(79)",MS(412),TULCUR2-026-001,48.233,-129.198,,-2310,-2320,SEAMOUNT,SOUTHWEST SMT,GL,19.02,,15.59,,38.49
13269,"COUSENS,1995(79)",MS(412),TULCUR2-027-003,48.188,-129.123,,-2690,-2710,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.87,,15.51,,38.21
13273,"COUSENS,1995(79)",MS(412),TULCUR2-027-005,48.188,-129.123,,-2690,-2710,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.73,,15.54,,38.13
13279,"COUSENS,1995(79)",MS(412),TULCUR2-016-004,48.167,-129.118,,-2700,-2700,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.76,,15.52,,38.18
13388,"COUSENS,1995(79)",MS(412),TUL1988-003-001,48.445,-129.033,1.00E-03,-2900,-2920,SPREADING_CENTER,JUAN DE FUCA RIDGE,MIN(PLAG),,,,,
13389,"COUSENS,1995(79)",MS(412),TUL1987-011-001,48.383,-129.117,1.00E-03,-2880,-2892,SPREADING_CENTER,JUAN DE FUCA RIDGE,MIN(PLAG),,,,,
15526,"PYLE,1992(254)",MS(427),MOA8801-013-047,-50.147,128.015,1.00E-03,-3200,-3400,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.656,,15.485,,38.136
15527,"PYLE,1992(254)",MS(427),MOA8801-016-001,-50.163,127.577,1.00E-03,-3500,-3600,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.717,,15.466,,38.153
15528,"PYLE,1992(254)",MS(427),MOA8801-016-012,-50.163,127.577,1.00E-03,-3500,-3600,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.798,,15.504,,38.291
15529,"PYLE,1992(254)",MS(427),MOA8801-017-026,-50.222,127.417,1.00E-03,-3100,-3400,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.63,,15.475,,38.099
15530,"PYLE,1992(254)",MS(427),MOA8801-004-002,-48.763,127.36,1.00E-03,-3600,-4000,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.649,,15.491,,38.154
15532,"PYLE,1992(254)",MS(427),MOA8801-006-002,-48.765,126.883,1.00E-03,-4400,-4400,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.398,,15.477,,38.005
15533,"PYLE,1992(254)",MS(427),MOA8801-005-001,-48.68,126.52,1.00E-03,-4600,-4800,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,18.226,,15.465,,37.956
15534,"PYLE,1992(254)",MS(427),MOA8801-022-013,-49.68,125.892,1.00E-03,-4000,-4000,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,17.764,,15.431,,37.584
15535,"PYLE,1992(254)",MS(427),MOA8801-023-001,-49.613,125.658,1.00E-03,-3800,-4000,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,17.805,,15.421,,37.638
15536,"PYLE,1992(254)",MS(427),MOA8801-027-058,-49.062,124.965,1.00E-03,-4000,-4200,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,17.888,,15.49,,37.837
15537,"PYLE,1992(254)",MS(427),MOA8801-027-071,-49.062,124.965,1.00E-03,-4000,-4200,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,17.843,,15.462,,37.614
15538,"PYLE,1992(254)",MS(427),MOA8801-030-006,-48.943,124.282,1.00E-03,-3400,-4400,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,17.926,,15.475,,37.769
15539,"PYLE,1992(254)",MS(427),MOA8801-026-001,-48.943,124.282,1.00E-03,-4800,-5000,SPREADING_CENTER,SOUTHEAST INDIAN RIDGE,GL,17.894,,15.452,,37.626
15540,"PYLE,1992(254)",MS(427),MOA8801-018-004,-50.042,126.742,1.00E-03,-4000,-4600,OLD_OCEANIC_CRUST,SOUTHEAST INDIAN RIDGE,GL,17.903,,15.459,,37.742
15541,"PYLE,1992(254)",MS(427),MOA8801-024-018,-49.768,126.167,1.00E-03,-3500,-3600,OLD_OCEANIC_CRUST,SOUTHEAST INDIAN RIDGE,GL,17.965,,15.47,,37.872
15543,"MAHONEY,1993(443)",MS(428),MOA8712-102-003,-13.38,-112.33,0.01,-2700,-2700,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.106,,15.441,,37.532
15544,"MAHONEY,1993(443)",MS(428),MOA8712-103-004,-13.38,-112.13,0.01,-2960,-2960,SPREADING_CENTER,EAST PACIFIC RISE,GL,17.802,,15.43,,37.285
15545,"MAHONEY,1993(443)",MS(428),MOA8712-104-002,-13.08,-110.93,0.01,-2575,-2575,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.113,,15.445,,37.622
15546,"MAHONEY,1993(443)",MS(428),MOA8712-015-003,-21.8,-114.36,0.01,-2920,-2920,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.239,,15.494,,37.703
15547,"MAHONEY,1993(443)",MS(428),MOA8712-020-001,-21,-114.19,0.01,-2910,-2910,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.156,,15.466,,37.594
15548,"MAHONEY,1993(443)",MS(428),MOA8712-029-001,-20.88,-114.17,0.01,-2950,-2950,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.09,,15.456,,37.541
15549,"MAHONEY,1993(443)",MS(428),MOA8712-036-004,-20.52,-113.87,0.01,-3045,-3045,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.579,,15.517,,38.123
