ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
126,"EISSEN,1989(421)",INAA(209),PIS1979-053-002,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,4.3,11.4,,,,0.94,,0.55,,,,,,
127,"EISSEN,1989(421)",INAA(209),PIS1979-053-003,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,4.6,11.3,,,,0.9,,0.55,,,,,,
128,"EISSEN,1989(421)",INAA(209),PIS1979-057-001,17.9684,40.0675,1.00E-04,-1310,-1310,SPREADING_CENTER,RED SEA,WR,1.64,4.8,,,,0.6,,0.38,,,,,,
129,"EISSEN,1989(421)",INAA(209),PIS1979-059-001,17.973,40.0508,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,1.2,,,,,0.45,,0.45,,,,,,
130,"EISSEN,1989(421)",INAA(209),PIS1979-059-003,17.973,40.0642,1.00E-04,-1350,-1350,SPREADING_CENTER,RED SEA,WR,1.2,,,,,0.72,,0.45,,,,,,
131,"EISSEN,1989(421)",INAA(209),PIS1979-061-001,17.9797,40.0918,1.00E-04,-1510,-1510,SPREADING_CENTER,RED SEA,WR,4.7,13.5,,,,0.92,,0.59,,,,,,
132,"EISSEN,1989(421)",INAA(209),PIS1979-062-001,17.9302,40.0892,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,2.4,7.7,,,,0.71,,0.47,,,,,,
133,"EISSEN,1989(421)",INAA(209),PIS1979-062-003,17.9302,40.0892,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,2.6,7.7,,,,0.84,,0.52,,,,,,
134,"EISSEN,1989(421)",INAA(209),PIS1979-062-004,17.939,40.1045,1.00E-04,-1400,-1400,SPREADING_CENTER,RED SEA,WR,4.3,10.9,,,,0.83,,0.54,,,,,,
135,"EISSEN,1989(421)",INAA(209),PIS1979-065-002,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,1,3.5,,,,0.51,,0.35,,,,,,
136,"EISSEN,1989(421)",INAA(209),PIS1979-065-004,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,1.45,4.2,,,,0.59,,0.37,,,,,,
137,"EISSEN,1989(421)",INAA(209),PIS1979-066-001,17.9792,40.0667,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,5.3,13,,,,0.98,,0.58,,,,,,
138,"EISSEN,1989(421)",INAA(209),PIS1979-066-004,17.9817,40.06,1.00E-04,-1410,-1410,SPREADING_CENTER,RED SEA,WR,4.7,13.4,,,,0.98,,0.57,,,,,,
