sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
LYN1973-053-VG1687,GL,51.57,1.35,15.97,,,9.42,,7.82,11.71,2.71,0.08,0.14,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1688,GL,51.67,1.34,15.7,,,8.91,,8.04,11.58,2.67,0.1,0.13,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1689,GL,50.9,1.32,15.91,,,9.04,,8.1,11.6,2.66,0.08,0.13,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1690,GL,51.08,1.3,16.03,,,8.85,,8.03,11.39,2.6,0.08,0.11,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1691,GL,50.6,1.29,15.93,,,8.82,,8.08,11.62,2.64,0.09,0.11,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1692,GL,51.41,1.24,16.02,,,9.02,,8.16,11.53,2.68,0.1,0.1,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1693,GL,51.03,1.29,16.29,,,8.94,,8.24,11.56,2.59,0.08,0.11,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1694,GL,51.49,1.31,15.84,,,9.37,,7.74,11.49,2.69,0.09,0.13,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1695,GL,50.98,1.35,15.94,,,9.39,,7.88,11.42,2.67,0.09,0.1,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
LYN1973-053-VG1696,GL,51.08,1.25,15.92,,,9.19,,8.3,11.49,2.6,0.09,0.11,51.84,-30.07,-2670 to -2780,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-053,LYNCH 1973,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
