sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,Te,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
TRI0138-009-002,glass,51.72,1.49,14.07,8.78,0.97,9.98,,0.18,7.44,11.43,3.2,0.04,0.16,2.01,,,,3.21,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,28.3,,77.2,,,,,,,,51.56,-29.92,-3710,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-009,TR138,dredge,"basalt, basalt, aphanitic",fresh,"Hanan,2000(955); Melson,(1086); Sigurdsson,1981(115)",CALC(324); EMP(323); EMP(3262); HR-ICP-MS(2057); MS-ID(2058)
TRI0138-009-002,whole rock,50.49,1.29,16.94,7.75,1.24,,,0.16,7.45,11.88,2.72,0.07,0.13,2.3,8.3,,7.7,3.1,1.1,,0.7,,,,0.49,2.5,0.42,704,41,261,0.006,,,,600,,,109,,0.62,,37,,100,,,,,247,,,,0.70268,,,,,,,51.56,-29.92,-3710,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-009,TR138,dredge,"basalt, basalt, aphanitic",fresh,"Schilling,1983(42); White,1977(54); White,1978(41)",INAA(81); MS(600); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0138-008-001,glass,51.84,1.2,15.47,8.52,0.82,8.47,9.27,0.15,8.39,11.63,3.17,0.089,0.12,1.84,,,,2.8,,,,,,,,,,,,,,,,,740,,1.99,,,,,,,,,,,,,22.4,,61.1,,,,,,,,51.28,-30.02,-3500,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-008,TR138,dredge,"basalt, basalt, cryptocristalline to aphanitic",fresh,"Christie,1986(261); Hanan,2000(955); Melson,(1086); Michael,1995(409); Michael,1998(808); Sigurdsson,1981(115)",CALC(324); DCP(1786); EMP(1230); EMP(323); EMP(3262); EMP(963); HR-ICP-MS(2057); MS-ID(2058)
TRI0138-008-001,whole rock,50.43,1.05,17.93,6.54,1.08,,,0.13,7.24,12.49,2.67,0.09,0.1,2.3,7,,6.5,2.5,0.9,,0.6,,,,0.38,2.6,0.37,10,37,322,0.01,,,,739,,,175,,0.87,,34,,121,,,,,219,,,,0.70251,,,,,,,51.28,-30.02,-3500,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-008,TR138,dredge,"basalt, basalt, cryptocristalline to aphanitic",fresh,"Schilling,1983(42); White,1977(54); White,1978(41)",INAA(81); MS(600); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0138-007-001A,glass,,,,,,,,,,,,,,2.33,,,,3.04,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,29,,84.4,,,,,,,,50.46,-29.42,-3880,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-007,TR138,dredge,"basalt, basalt, cryptocristalline",fresh,"Hanan,2000(955)",HR-ICP-MS(2057); MS-ID(2058)
TRI0138-007-001A,whole rock,50.75,1.22,15.64,7.58,1.08,,,0.15,9.11,11.19,2.79,0.1,0.13,2.8,9.1,,8.5,2.9,1,,0.7,,,,0.45,2.9,0.42,13,42,381,0.014,,,,900,,,172,,1.09,,35,,111,,,,,246,,,,0.70233,,,,,,,50.46,-29.42,-3880,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-007,TR138,dredge,"basalt, basalt, cryptocristalline",fresh,"Schilling,1983(42); White,1977(54); White,1978(41)",INAA(81); MS(600); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0138-006-001,glass,50.2,1.72,15.05,8.63,0.94,9.92,,0.17,7.47,10.55,3.38,0.119,0.18,,,,,,,,,,,,,,,,,,,,,,990,7,,,,,,,,,,,,,,,,,,,,,,,,50.043,-28.933,-3370,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-006,TR138,dredge,"basalt, basalt; tholeiite(ref-175);, glassy to cryptocristalline",fresh,"Melson,(1086); Michael,1995(409); Michael,1998(808); Ryan,1987(395); Sigurdsson,1981(115)",CALC(324); DCP(3157); EMP(1230); EMP(323); EMP(3262); EMP(963)
TRI0138-006-001,whole rock,50.62,1.57,15.65,8.61,1.47,,,0.17,7.43,10.92,3.04,0.11,0.17,3.5,11.7,,11.4,4.2,1.4,,1,,,,0.56,3.6,0.54,13,42,187,0.016,,,,985,,,100,,1.23,,36,,97,,,,,288,,,,0.70231,,17.826,15.412,37.36,,,50.043,-28.933,-3370,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-006,TR138,dredge,"basalt, basalt; tholeiite(ref-175);, glassy to cryptocristalline",fresh,"Dupre,1980(175); Schilling,1983(42); White,1978(41)",INAA(81); MS(1371); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
LYN1973-056,glass,,,,,,,,,,,,0.08,,,8.96,,,,,,,,,,,,,10.3,,,0.011,,,,643,,2.06,,0.399,0.85,,,,,,0.0916,,0.0523,,,,,0.70285,0.513209,18.339,15.499,37.83,,,49.81,-28.65,-3219 to -3402,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-056,LYNCH 1973,dredge,"basalt, basalt, ",fresh,"Hofmann,1983(742); Hofmann,1986(161); Ito,1980(184); Ito,1987(187); Jochum,1983(207)",MS(1051); MS-ID(1376); MS-ID(1556); SS-ID(1063); SSMS(1560)
LYN1973-056,whole rock,,,,,,,,,,,,,,,,,8.29,2.74,1.02,,,,,,,,,,,,,,,2.33,,,,,,,,,1.5,,,,,,,,,81.4,,,,,,,,49.81,-28.65,-3219 to -3402,SPREADING_CENTER;MID-ATLANTIC RIDGE,LYN1973-056,LYNCH 1973,dredge,"basalt, basalt, ",fresh,"Jochum,1993(671)",SSMS(2422)
